x,ub,lambda
0.0,0.0,-1.685262489847803e-05
0.0078125,0.0,0.00044827277682130346
0.015625,0.0,0.0011164642241168865
0.0234375,0.0,0.00176654601177914
0.03125,0.0,0.0024169200945244503
0.0390625,0.0,0.003065942611079793
0.046875,0.0,0.0037130554735388425
0.0546875,0.0,0.00435794365129404
0.0625,0.0,0.005000204844127843
0.0703125,0.0,0.005639453481574106
0.078125,0.0,0.0062753046212645925
0.0859375,0.0,0.006907375203755375
0.09375,0.0,0.007535284526375863
0.1015625,0.0,0.008158654376855576
0.109375,0.0,0.008777109278450962
0.1171875,0.0,0.009390276714661642
0.125,0.0,0.009997787353442046
0.1328125,0.0,0.010599275269772073
0.140625,0.0,0.011194378166059997
0.1484375,0.0,0.011782737590382536
0.15625,0.0,0.012363999152406928
0.1640625,0.0,0.012937812736866764
0.171875,0.0,0.013503832714463208
0.1796875,0.0,0.01406171815006446
0.1875,0.0,0.014611133008078175
0.1953125,0.0,0.015151746354872875
0.203125,0.0,0.015683232558126696
0.2109375,0.0,0.016205271482983105
0.21875,0.0,0.01671754868489561
0.2265625,0.0,0.017219755599045185
0.234375,0.0,0.01771158972621626
0.2421875,0.0,0.018192754815019446
0.25,0.0,0.01866296104035092
0.2578125,0.0,0.019121925177981346
0.265625,0.0,0.019569370775168717
0.2734375,0.0,0.0200050283171926
0.28125,0.0,0.02042863538970939
0.2890625,0.0,0.020839936836830726
0.296875,0.0,0.02123868491482979
0.3046875,0.0,0.021624639441382938
0.3125,0.0,0.02199756794025677
0.3203125,0.0,0.022357245781353334
0.328125,0.0,0.022703456316029283
0.3359375,0.0,0.023035991007607243
0.34375,0.0,0.023354649557000944
0.3515625,0.0,0.023659240023378304
0.359375,0.0,0.023949578939789884
0.3671875,0.0,0.02422549142369288
0.375,0.0,0.02448681128230428
0.3828125,0.0,0.024733381112719534
0.390625,0.0,0.02496505239673659
0.3984375,0.0,0.02518168559032792
0.40625,0.0,0.02538315020770699
0.4140625,0.0,0.025569324899938194
0.421875,0.0,0.02574009752804313
0.4296875,0.0,0.025895365230559055
0.4375,0.0,0.026035034485508854
0.4453125,0.0,0.026159021166745282
0.453125,0.0,0.02626725059463536
0.4609375,0.0,0.026359657581054553
0.46875,0.0,0.026436186468663574
0.4765625,0.0,0.026496791164444304
0.484375,0.0,0.026541435167474127
0.4921875,0.0,0.02657009159092278
0.5,0.0,0.026582743178257658
0.5078125,0.0,0.02657938231364834
0.515625,0.0,0.02656001102656389
0.5234375,0.0,0.026524640990560178
0.53125,0.0,0.026473293516257955
0.5390625,0.0,0.026405999538515933
0.546875,0.0,0.02632279959780664
0.5546875,0.0,0.026223743815806156
0.5625,0.0,0.026108891865212577
0.5703125,0.0,0.025978312933811372
0.578125,0.0,0.0258320856828091
0.5859375,0.0,0.025670298199460845
0.59375,0.0,0.02549304794401979
0.6015625,0.0,0.02530044169104088
0.609375,0.0,0.025092595465073905
0.6171875,0.0,0.024869634470784805
0.625,0.0,0.02463169301754716
0.6328125,0.0,0.02437891443854981
0.640625,0.0,0.02411145100446828
0.6484375,0.0,0.023829463831753037
0.65625,0.0,0.023533122785589368
0.6640625,0.0,0.023222606377587378
0.671875,0.0,0.022898101658263573
0.6796875,0.0,0.022559804104379133
0.6875,0.0,0.0222079175012024
0.6953125,0.0,0.021842653819766723
0.703125,0.0,0.021464233089197413
0.7109375,0.0,0.021072883264184772
0.71875,0.0,0.020668840087682955
0.7265625,0.0,0.020252346948917616
0.734375,0.0,0.01982365473678732
0.7421875,0.0,0.019383021688747584
0.75,0.0,0.018930713235268175
0.7578125,0.0,0.018467001839957413
0.765625,0.0,0.017992166835449866
0.7734375,0.0,0.017506494255156223
0.78125,0.0,0.017010276660976563
0.7890625,0.0,0.016503812967080894
0.796875,0.0,0.015987408259863042
0.8046875,0.0,0.015461373614176332
0.8125,0.0,0.014926025905961668
0.8203125,0.0,0.014381687621381044
0.828125,0.0,0.01382868666257109
0.8359375,0.0,0.01326735615013399
0.84375,0.0,0.012698034222484562
0.8515625,0.0,0.012121063832174345
0.859375,0.0,0.011536792539315364
0.8671875,0.0,0.0109455723022281
0.875,0.0,0.010347759265439562
0.8828125,0.0,0.009743713545159599
0.890625,0.0,0.00913379901236333
0.8984375,0.0,0.008518383073611809
0.90625,0.0,0.007897836449769553
0.9140625,0.0,0.007272532952493671
0.921875,0.0,0.006642849259919054
0.9296875,0.0,0.00600916468909728
0.9375,0.0,0.005371860946379182
0.9453125,0.0,0.0047313220944580885
0.953125,0.0,0.004087933343096435
0.9609375,0.0,0.003442082677307865
0.96875,0.0,0.0027941779161339024
0.9765625,0.0,0.0021444193839207986
0.984375,0.0,0.0014943652705205904
0.9921875,0.0,0.0008394807771644982
1.0,0.0,0.00018942896085594223
0.0,0.0,-8.39328562343783e-06
0.0078125,0.01236505821976358,0.00022138125246838787
0.015625,0.024722672200061642,0.0005518601195025149
0.0234375,0.03706547129963619,0.000873352614459957
0.03125,0.04938597481245028,0.0011949578168740827
0.0390625,0.06167675413665813,0.0015158944193579878
0.046875,0.07393040076382046,0.001835885680703578
0.0546875,0.08613953070276226,0.0021547761775239822
0.0625,0.09829678771588679,0.0024723671035023417
0.0703125,0.11039484733542078,0.0027884678347789914
0.078125,0.1224264210873677,0.0031028880607160718
0.0859375,0.1343842607676988,0.0034154383926141224
0.09375,0.14626116274122078,0.003725930603358979
0.1015625,0.15804997223761375,0.004034177695083472
0.109375,0.16974358763233177,0.004339994021071677
0.1171875,0.18133496470438343,0.004643195397359598
0.125,0.19281712086527963,0.004943599213871379
0.1328125,0.20418313935471005,0.005241024544645171
0.140625,0.21542617339922632,0.005535292256925336
0.1484375,0.22653945033064807,0.005826225119147464
0.15625,0.23751627566118805,0.006113647907754734
0.1640625,0.24835003711248227,0.006397387512790198
0.171875,0.259034208595848,0.006677273042204999
0.1796875,0.2695623541411886,0.006953135924824352
0.1875,0.2799281317720483,0.007224810011911029
0.1953125,0.2901252973243832,0.007492131677268187
0.203125,0.3001477082066783,0.007754939915819259
0.2109375,0.309989327099089,0.008013076440607246
0.21875,0.31964422558933364,0.008266385778157274
0.2265625,0.329106587743116,0.008514715362144067
0.234375,0.3383707136069043,0.0087579156253064
0.2421875,0.3474310226409305,0.00899584008955619
0.25,0.35628205708033067,0.009228345454225836
0.2578125,0.36491848522238546,0.009455291682402875
0.265625,0.37333510463787245,0.009676542085298515
0.2734375,0.38152684530459036,0.009891963404597219
0.28125,0.3894887726611509,0.010101425892742093
0.2890625,0.3972160905792045,0.010304803391107049
0.296875,0.4047041442522996,0.01050197340600402
0.3046875,0.4119484229996313,0.010692817182484795
0.3125,0.4189445629829891,0.010877219775888805
0.3203125,0.4256883498352633,0.011055070121098715
0.328125,0.43217572119892633,0.011226261099457608
0.3359375,0.43840276917295684,0.01139068960330757
0.34375,0.44436574266673157,0.011548256598114405
0.3515625,0.4500610496594633,0.011698867182138813
0.359375,0.4554852593638308,0.011842430643616566
0.3671875,0.4606351042924861,0.011978860515415315
0.375,0.465507482226202,0.012108074627134438
0.3828125,0.4700994580824682,0.012229995154619248
0.390625,0.47440826568341415,0.012344548666853705
0.3984375,0.4784313094219919,0.012451666170206217
0.40625,0.4821661658254124,0.0125512831500066
0.4140625,0.4856105850148962,0.012643339609421423
0.421875,0.4887624920608592,0.012727780105609708
0.4296875,0.49161998823271624,0.012804553783134744
0.4375,0.49418135214254755,0.012873614404611614
0.4453125,0.4964450407819415,0.01293492037857556
0.453125,0.49840969045138994,0.012988434784548947
0.4609375,0.5000741175816726,0.01303412539529633
0.46875,0.5014373194467401,0.013071964696250882
0.4765625,0.50249847476766,0.013101929902103775
0.484375,0.5032569442072702,0.01312400297054395
0.4921875,0.5037122707552356,0.013138170613140269
0.5,0.5038641800032767,0.013144424303361003
0.5078125,0.5037125803104078,0.013142760281724127
0.515625,0.5032575628580792,0.013133179558078615
0.5234375,0.5024994015952025,0.013115687911007597
0.53125,0.5014385530730721,0.013090295884363105
0.5390625,0.5000756561703018,0.01305701878093162
0.546875,0.49841153170793256,0.013015876653229615
0.5546875,0.4964471819549434,0.012966894291438715
0.5625,0.4941837900244675,0.01291010120848769
0.5703125,0.4916227191610709,0.01284553162229141
0.578125,0.48876551191953005,0.01277322443515336
0.5859375,0.48561388923559834,0.012693223210346681
0.59375,0.482169749389322,0.01260557614588851
0.6015625,0.478435166861531,0.012510336045522558
0.609375,0.4744123910841904,0.01240756028692776
0.6171875,0.47010384508537256,0.012297310787170126
0.625,0.46551212402965536,0.012179653965423327
0.6328125,0.46063999365483355,0.012054660702973695
0.640625,0.45549038860588187,0.011922406300540277
0.6484375,0.45006641066717423,0.011782970432932208
0.65625,0.44437132689402126,0.01163643710107045
0.6640625,0.4384085676446522,0.01148289458140573
0.671875,0.43218172451382886,0.011322435372758285
0.6796875,0.42569454816933083,0.011155156140616834
0.6875,0.4189509460926186,0.010981157658925926
0.6953125,0.4119549802250309,0.010800544749399899
0.703125,0.40471086452093674,0.010613426218397516
0.7109375,0.3972229624093122,0.010419914791396496
0.71875,0.38949578416526864,0.010220127045108125
0.7265625,0.3815339841931159,0.010014183337271991
0.734375,0.37334235822259343,0.009802207734171684
0.7421875,0.36492584041995424,0.009584327935917644
0.75,0.3562895004156412,0.009360675199540376
0.7578125,0.3474385402503368,0.00913138425994289
0.765625,0.3383782912412262,0.008896593248755594
0.7734375,0.32911421077034947,0.008656443611146755
0.78125,0.31965187899697467,0.00841108002063515
0.7890625,0.3099969954959554,0.008160650291960794
0.796875,0.30015537582409163,0.007905305292061175
0.8046875,0.29013294801654327,0.0076451988492100015
0.8125,0.2799357490153873,0.007380487660372586
0.8203125,0.26956992103244515,0.0071113311968332114
0.828125,0.2590417078485394,0.006837891608152886
0.8359375,0.2483574510513698,0.006560333624513895
0.84375,0.23752358621421776,0.006278824457512471
0.8515625,0.226546639017714,0.005993533699459654
0.859375,0.21543322131691278,0.005704633221251603
0.8671875,0.2041900271559156,0.005412297068873195
0.875,0.1928238287322741,0.005116701358601259
0.8828125,0.1813414723133674,0.004818024170973758
0.890625,0.16974987410687895,0.004516445443596398
0.8984375,0.15805601608737752,0.004212146862863859
0.90625,0.14626694178080527,0.0039053117546945697
