x,y
0.8680138426687348,0.6596096399596608
0.8998938340991034,0.2760538398262814
0.38884508317124644,0.6918727921675496
0.20923566385881973,0.4071840081212801
0.667721250070502,0.8201139444186988
0.6374452500616602,0.5493832858505101
0.8763420483162565,0.814853721536609
0.5917181070736673,0.2821466035183807
0.21442936470712148,0.19823878687462343
0.8531353403515379,0.4274072180025844
0.8333314793687742,0.10161861807524658
0.7374992900450781,0.24357152094142087
0.3902494151885769,0.1703088518080761
0.2324101459682555,0.6052927510824893
0.1524524282390769,0.8302993529639865
0.38026957877561673,0.4155707700345527
0.40489903234146163,0.8993210703736426
0.6602996842213361,0.10527528044235064
0.10158757196505741,0.5201719060381057
0.6909265311140234,0.40475061548201674
